15.6 inch,Intel Core i5,FHD (1920 x 1080) 16:9,8GB,512GB SSD M.2,NVIDIA GeForce RTX 2050 Laptop,2.30 Kg.,22990
15.6 inch,Intel Core i5,WQHD (2560x1440) IPS 300nits Anti-glare 100% sRGB 165Hz Dolby Vision G-SYNC,16GB,512GB SSD M.2,NVIDIA GeForce RTX 3060 Laptop,2.40 Kg.,55990
15.6 inch,Intel Core i5,WQHD (2560x1440) IPS 300nits Anti-glare 100% sRGB 165Hz Dolby Vision G-SYNC,16GB,512GB SSD M.2,NVIDIA GeForce RTX 3060 Laptop,2.40 Kg.,55990
